"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","df.int","iterations","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"31","tv_S",307509.129166708,13656007.8641716,0.0381328191565209,68969.7366877356,0.0221411439584972,13656007.8641716,0.0381328191565209,68969.7366877356,0.0221411439584972,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,21871508.1,254319.861627907,0.342296512761419,0.342319288225462,0.0507344540897437,0.624374313912612,1.60160336150529,12902.779343871,0.207862258694149,2,FALSE,0.600161696595261,0.00710505744350078,0.505041251438664,0.695133122660817,0.55067593854871
"32","ooh_S",204200.088339031,9520117.1494291,0.0265838237074048,48081.3997445914,0.0154354249355914,9520117.1494291,0.0265838237074048,48081.3997445914,0.0154354249355914,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,15661807,190997.646341463,0.245112586435792,0.238643662103168,0.360124731572615,0.607855603726256,1.64512754981583,68782.9761197208,0.270445620990358,2,FALSE,0.640539081307268,0.0139188633764839,0.454393430088924,0.826784899906185,0.597122346987092
"33","print_S",207898.558679501,3121499.99871377,0.00871642694790237,15765.1515086554,0.00506103844735613,3121499.99871377,0.00871642694790237,15765.1515086554,0.00506103844735613,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,5084592.32,62772.744691358,0.0795755926839583,0.0782475865848731,0.0060297878582198,0.613913525856439,1.62889390424319,378.506333767082,0.0230669089883122,2,FALSE,0.678574086342274,0.0186445493362042,0.429417933019047,0.928242509680955,0.516662667285778
"34","facebook_S",150456.045248601,7492176.5151534,0.0209210345353303,37839.2753290576,0.0121474270104739,7492176.5151534,0.0209210345353303,37839.2753290576,0.0121474270104739,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,12302572.72,135193.106813187,0.192539431702461,0.187808659561167,0.0290851960979966,0.608992662402519,1.64205590926979,3932.11802275894,0.193433152971011,2,FALSE,0.533223717914483,0.0142828367341774,0.341967863737473,0.724097238869242,0.339521839624726
"35","search_S",159828.017917784,6102802.64030362,0.0170413690256579,30822.235557089,0.00989476816015698,6102802.64030362,0.0170413690256579,30822.235557089,0.00989476816015698,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,8975900,53747.9041916168,0.140475876416369,0.15298080352533,2.67417512833644e-05,0.679909829688791,1.47078326615416,1.43731308589431,0.000203991895412425,2,FALSE,0.646643686146597,0.0156083021717092,0.438082581069162,0.855674048839068,0.384799456153534
"36","newsletter",134545.886409813,7267224.09479524,0.020292880974666,36703.1519939154,0.0117827008055316,7267224.09479524,0.020292880974666,36703.1519939154,0.0117827008055316,TRUE,0.7388171,0.881126296156253,0.947118080065275,0.959524195953585,0.0770600998974641,0.311723443618649,0.346630424293275,0.311723443618649,0.0149118914962337,0,130183.032233908,0.00188829,65481090.2648517,1e-04,"1_143_10",1,143,10,1,2282,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.377959284524745
"37","(Intercept)",663855.625884554,131443413.925142,0.367689092135112,663855.625884554,0.235178883437285,131443413.925142,0.367689092135112,663855.625884554,0.235178883437285,TRUE,0.7527338,0.878355955679931,0.937895362453952,0.962753543104273,0.0779447771389656,0.330973196997637,0.314973510422123,0.330973196997637,0.00676665891248751,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_145_15",1,145,15,1,2319,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"38","trend",0.145994524979221,51986912.4194299,0.145423951338436,262560.163734494,0.0930151131278163,51986912.4194299,0.145423951338436,262560.163734494,0.0930151131278163,TRUE,0.7527338,0.878355955679931,0.937895362453952,0.962753543104273,0.0779447771389656,0.330973196997637,0.314973510422123,0.330973196997637,0.00676665891248751,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_145_15",1,145,15,1,2319,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"39","season",0.308983456077993,-2352980.14004836,-0.00658203485188729,-11883.7380810523,-0.00420995792456995,-2352980.14004836,-0.00658203485188729,-11883.7380810523,-0.00420995792456995,FALSE,0.7527338,0.878355955679931,0.937895362453952,0.962753543104273,0.0779447771389656,0.330973196997637,0.314973510422123,0.330973196997637,0.00676665891248751,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_145_15",1,145,15,1,2319,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"40","holiday",0.73547767570422,2102061.29184052,0.0058801349183564,55317.4024168557,0.0195968587563186,2102061.29184052,0.0058801349183564,55317.4024168557,0.0195968587563186,TRUE,0.7527338,0.878355955679931,0.937895362453952,0.962753543104273,0.0779447771389656,0.330973196997637,0.314973510422123,0.330973196997637,0.00676665891248751,0,178867.282799294,0.00263185,65481090.2648517,1e-04,"1_145_15",1,145,15,1,2319,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
