client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
KIND,KIND,3/1/2020,sponsoredBrands,Category,417.02,143999,237,1064.95,1144151.48
KIND,KIND,3/1/2020,sponsoredBrands,Competitive,239.82,48907,124,637.84,1144151.48
KIND,KIND,3/1/2020,sponsoredBrands,Uncategorized,0,0,0,0,1144151.48
KIND,KIND,3/1/2020,sponsoredProducts,Auto,440.09,771392,1691,10616.79,1144151.48
KIND,KIND,3/1/2020,sponsoredProducts,Branded,28877.3,2142670,12109,165429.38,1144151.48
KIND,KIND,3/1/2020,sponsoredProducts,Category,39766.53,3643041,8818,62118.05,1144151.48
KIND,KIND,3/1/2020,sponsoredProducts,Competitive,4310.28,1003031,948,7625.59,1144151.48
KIND,KIND,8/23/2020,sponsoredBrands,Branded,1260.96,71341,1064,13788.81,903443.31
KIND,KIND,8/23/2020,sponsoredBrands,Category,478.44,132002,166,615.81,903443.31
KIND,KIND,8/23/2020,sponsoredBrands,Competitive,22.8,11315,11,0,903443.31
KIND,KIND,8/23/2020,sponsoredBrands,Uncategorized,0,0,0,0,903443.31
KIND,KIND,8/23/2020,sponsoredBrandsVideo,Branded,216.26,14651,239,3475.76,903443.31
KIND,KIND,8/23/2020,sponsoredBrandsVideo,Category,24.63,306,4,24.19,903443.31
KIND,KIND,8/23/2020,sponsoredBrandsVideo,Competitive,0,4,0,0,903443.31
KIND,KIND,8/23/2020,sponsoredDisplay,Branded,NULL,NULL,NULL,NULL,903443.31
KIND,KIND,8/23/2020,sponsoredDisplay,Category,NULL,NULL,NULL,NULL,903443.31
KIND,KIND,8/23/2020,sponsoredDisplay,Competitive,NULL,NULL,NULL,NULL,903443.31
KIND,KIND,8/23/2020,sponsoredProducts,Auto,6522.32,4091896,3271,13041.47,903443.31
KIND,KIND,8/23/2020,sponsoredProducts,Branded,8823.48,898513,4753,46013.61,903443.31
KIND,KIND,8/23/2020,sponsoredProducts,Category,7664.08,1137178,2153,10890.74,903443.31
KIND,KIND,8/23/2020,sponsoredProducts,Competitive,557.75,373314,260,939.36,903443.31
Nature's Path,Nature's Path,3/14/2021,sponsoredBrands,Branded,129.07,7104,131,1148.23,392365.32
Nature's Path,Nature's Path,3/14/2021,sponsoredBrands,Category,392.06,81162,194,1105.35,392365.32
Nature's Path,Nature's Path,3/14/2021,sponsoredBrandsVideo,Branded,0,0,0,0,392365.32
Nature's Path,Nature's Path,3/14/2021,sponsoredProducts,Auto,423.91,172609,300,2030.76,392365.32
Nature's Path,Nature's Path,3/14/2021,sponsoredProducts,Branded,76.25,21303,54,719.05,392365.32
Nature's Path,Nature's Path,3/14/2021,sponsoredProducts,Category,107.97,18009,55,435.63,392365.32
Nature's Path,Nature's Path,7/15/2018,sponsoredProducts,Auto,432.51,495194,414,1012.12,59405.38
Nature's Path,Nature's Path,7/15/2018,sponsoredProducts,Uncategorized,3334.26,673249,2185,10859.26,59405.38
KIND,KIND,3/10/2019,sponsoredBrands,Branded,3905.57,152876,1372,15103.71,693144.52
KIND,KIND,3/10/2019,sponsoredBrands,Category,6030.27,274691,974,4028.38,693144.52
KIND,KIND,3/10/2019,sponsoredBrands,Competitive,669.86,151358,205,571.48,693144.52
