week,sales
2018-01-30,
2018-01-31,0
2018-01-31,23.94
2018-01-31,29.28
2018-01-31,42.93
2018-01-31,111.62
2018-01-31,
2018-02-01,24.62
2018-02-01,114.07
2018-02-01,101.63
2018-02-01,51.6
2018-02-01,111.73
2018-02-01,
2018-02-02,69.24
2018-02-02,67.34
2018-02-02,19.94
2018-02-02,38.9
2018-02-02,38.62
2018-02-02,133.24
2018-02-02,0
2018-02-02,82.08
2018-02-02,134.16
2018-02-02,153.4
2018-02-02,59.4
2018-02-02,
2018-02-03,23.94
2018-02-03,162.75
2018-02-03,0
2018-02-03,12.92
2018-02-03,29.92
2018-02-03,47.43
2018-02-03,34.36
2018-02-03,184.14
2018-02-03,69.94
2018-02-03,105.78
2018-02-03,99.47
2018-02-03,
2018-02-04,23.08
2018-02-04,202.02
2018-02-04,19.94
2018-02-04,12.92
2018-02-04,63.93
2018-02-04,70.1
2018-02-04,74.33
2018-02-04,93.34
2018-02-04,71.2
2018-02-04,76.81
2018-02-04,100.47
2018-02-04,
2018-02-05,0
2018-02-05,58.34
2018-02-05,9.97
2018-02-05,25.98
2018-02-05,115.67
2018-02-05,23.94
2018-02-05,22.08
2018-02-05,110.42
2018-02-05,111.82
2018-02-05,30.96
2018-02-05,71.98
2018-02-05,
2018-02-06,0
2018-02-06,265.05
2018-02-06,0
2018-02-06,77.59
2018-02-06,24
2018-02-06,71.82
2018-02-06,0
2018-02-06,107.64
2018-02-06,79.76
2018-02-06,61.92
2018-02-06,45
2018-02-06,
2018-02-07,20.98
2018-02-07,248.86
2018-02-07,0
2018-02-07,12.92
2018-02-07,158.97
2018-02-07,140.68
2018-02-07,0
2018-02-07,143.52
2018-02-07,59.94
2018-02-07,126.82
2018-02-07,35.99
2018-02-07,
2018-02-08,20.98
2018-02-08,19.94
2018-02-08,0
2018-02-08,9.98
2018-02-08,49.91
2018-02-08,93.23
2018-02-08,0
2018-02-08,113.32
2018-02-08,146.2
2018-02-08,140.76
2018-02-08,0
2018-02-08,
2018-02-09,42.39
2018-02-09,204.73
2018-02-09,7.94
2018-02-09,12.99
2018-02-09,49.87
2018-02-09,47.88
2018-02-09,33.19
2018-02-09,51.76
2018-02-09,91.8
2018-02-09,53.25
2018-02-09,0
2018-02-09,
2018-02-10,0
2018-02-10,130.11
2018-02-10,18.68
2018-02-10,51.82
2018-02-10,26.85
2018-02-10,119.7
2018-02-10,0
2018-02-10,78.63
2018-02-10,92.93
2018-02-10,92.88
2018-02-10,203.53
2018-02-10,
2018-02-11,42.82
2018-02-11,150.66
2018-02-11,0
2018-02-11,38.83
2018-02-11,73.12
2018-02-11,141.11
2018-02-11,33.19
2018-02-11,71.76
2018-02-11,51.7
2018-02-11,118.18
2018-02-11,22.46
2018-02-11,
2018-02-12,21.41
2018-02-12,150.3
2018-02-12,9.34
2018-02-12,22.9
2018-02-12,55.6
2018-02-12,0
2018-02-12,46.59
2018-02-12,125.58
2018-02-12,35.84
2018-02-12,51.27
2018-02-12,67.92
2018-02-12,
2018-02-13,21.41
2018-02-13,85.98
2018-02-13,0
2018-02-13,0
2018-02-13,31.97
2018-02-13,47.88
2018-02-13,0
2018-02-13,53.82
2018-02-13,19.94
2018-02-13,51.27
2018-02-13,36.12
2018-02-13,
2018-02-14,0
2018-02-14,306.92
2018-02-14,0
2018-02-14,12.92
2018-02-14,79.84
2018-02-14,71.82
2018-02-14,39.26
2018-02-14,103.5
2018-02-14,76.85
2018-02-14,94.2
2018-02-14,0
2018-02-14,
2018-02-15,0
2018-02-15,154.48
2018-02-15,0
2018-02-15,0
2018-02-15,67.93
2018-02-15,95.76
2018-02-15,44.29
2018-02-15,95.04
2018-02-15,99.88
2018-02-15,152.38
2018-02-15,22.46
2018-02-15,
2018-02-16,21.41
2018-02-16,210.13
2018-02-16,0
2018-02-16,0
2018-02-16,89.92
2018-02-16,47.88
2018-02-16,0
2018-02-16,93.19
2018-02-16,18.44
2018-02-16,126.12
2018-02-16,72.24
2018-02-16,
2018-02-17,21.41
2018-02-17,198.55
2018-02-17,0
2018-02-17,9.98
2018-02-17,29.93
2018-02-17,47.88
2018-02-17,0
2018-02-17,143.33
2018-02-17,154.69
2018-02-17,49.77
2018-02-17,22.5
2018-02-17,
2018-02-18,0
2018-02-18,98.59
2018-02-18,59.82
2018-02-18,22.9
2018-02-18,65.01
2018-02-18,71.82
2018-02-18,33.12
2018-02-18,89.7
2018-02-18,41.92
2018-02-18,91.63
2018-02-18,113.12
2018-02-18,
2018-02-19,0
2018-02-19,183.06
2018-02-19,0
2018-02-19,19.96
2018-02-19,74.68
2018-02-19,23.94
2018-02-19,17.18
2018-02-19,17.94
2018-02-19,104.86
2018-02-19,25.02
2018-02-19,89.13
2018-02-19,
2018-02-20,36.12
2018-02-20,168.4
2018-02-20,0
2018-02-20,0
2018-02-20,164.42
2018-02-20,47.88
2018-02-20,33.12
2018-02-20,203.04
2018-02-20,39.88
2018-02-20,83.71
2018-02-20,77.86
2018-02-20,
2018-02-21,36.12
2018-02-21,153.35
2018-02-21,15.68
2018-02-21,52.95
2018-02-21,23.94
2018-02-21,0
2018-02-21,89.05
2018-02-21,123.52
2018-02-21,51.24
2018-02-21,195.34
2018-02-21,
2018-02-22,0
2018-02-22,152.57
2018-02-22,0
2018-02-22,39.96
2018-02-22,95.76
2018-02-22,74.24
2018-02-22,59.52
2018-02-22,49.21
2018-02-22,52.02
2018-02-22,0
2018-02-22,
2018-02-23,0
2018-02-23,149.93
2018-02-23,0
2018-02-23,40.29
2018-02-23,140.43
2018-02-23,33.12
2018-02-23,65.22
2018-02-23,148
2018-02-23,24.75
2018-02-23,72.24
2018-02-23,
2018-02-24,0
2018-02-24,177.84
2018-02-24,55.56
2018-02-24,89.45
2018-02-24,119.7
2018-02-24,17.18
2018-02-24,144.58
2018-02-24,156.98
2018-02-24,66.69
2018-02-24,0
2018-02-24,
2018-02-25,38.25
2018-02-25,57.3
2018-02-25,0
2018-02-25,19.98
2018-02-25,67.05
2018-02-25,0
2018-02-25,101.52
2018-02-25,38.38
2018-02-25,0
2018-02-25,36.11
2018-02-25,
2018-02-26,0
2018-02-26,179
2018-02-26,0
2018-02-26,101.75
2018-02-26,0
2018-02-26,17.18
2018-02-26,71.52
2018-02-26,89.1
2018-02-26,50.49
2018-02-26,0
2018-02-26,
2018-02-27,36.11
2018-02-27,168.74
2018-02-27,0
2018-02-27,29.93
2018-02-27,95.76
2018-02-27,17.18
2018-02-27,62.69
2018-02-27,49.22
2018-02-27,74.6
2018-02-27,78.42
2018-02-27,
2018-02-28,42.31
2018-02-28,78.3
2018-02-28,0
2018-02-28,0
2018-02-28,138.04
2018-02-28,23.94
2018-02-28,0
2018-02-28,69.52
2018-02-28,18.68
2018-02-28,10.32
2018-02-28,79.67
2018-02-28,
2018-03-01,90.52
2018-03-01,124.86
2018-03-01,0
2018-03-01,98.78
2018-03-01,95.76
2018-03-01,0
2018-03-01,52.7
2018-03-01,55.22
2018-03-01,78.87
2018-03-01,125.28
2018-03-01,
2018-03-02,72.22
2018-03-02,112.57
2018-03-02,0
2018-03-02,76.26
2018-03-02,47.88
2018-03-02,17.18
2018-03-02,122.39
2018-03-02,45.45
2018-03-02,88.08
2018-03-02,22.46
2018-03-02,
2018-03-03,30.73
2018-03-03,130.24
2018-03-03,0
2018-03-03,9.99
2018-03-03,47.88
2018-03-03,33.11
2018-03-03,88.58
2018-03-03,29.28
2018-03-03,23.16
2018-03-03,95.43
2018-03-03,
2018-03-04,0
2018-03-04,300.86
2018-03-04,0
2018-03-04,0
2018-03-04,9.99
2018-03-04,47.88
2018-03-04,66.22
2018-03-04,79.84
2018-03-04,56.62
2018-03-04,0
2018-03-04,0
2018-03-04,
2018-03-05,59.11
2018-03-05,265.87
2018-03-05,0
2018-03-05,9.99
2018-03-05,47.88
2018-03-05,0
2018-03-05,34.76
2018-03-05,105.52
2018-03-05,110.62
2018-03-05,99.18
2018-03-05,
2018-03-06,122.2
2018-03-06,0
2018-03-06,53.65
2018-03-06,0
2018-03-06,0
2018-03-06,111.35
2018-03-06,32.82
2018-03-06,50.25
2018-03-06,108.42
2018-03-06,
2018-03-07,157.07
2018-03-07,38.66
2018-03-07,71.82
2018-03-07,0
2018-03-07,132.54
2018-03-07,9.34
2018-03-07,22.29
2018-03-07,137.3
2018-03-07,
2018-03-08,50.39
2018-03-08,0
2018-03-08,95.76
2018-03-08,33.11
2018-03-08,98.9
2018-03-08,58.56
2018-03-08,10.32
2018-03-08,127.63
2018-03-08,
2018-03-09,85.21
2018-03-09,33.43
2018-03-09,47.88
2018-03-09,12.2
2018-03-09,69.32
2018-03-09,9.34
2018-03-09,25.29
2018-03-09,85.24
2018-03-09,
2018-03-10,71.44
2018-03-10,32.97
2018-03-10,47.88
2018-03-10,0
2018-03-10,95.7
2018-03-10,0
2018-03-10,35.61
2018-03-10,318.15
2018-03-10,
2018-03-11,130.02
2018-03-11,9.99
2018-03-11,23.94
2018-03-11,17.18
2018-03-11,13.59
2018-03-11,85.02
2018-03-11,13.59
2018-03-11,94.66
2018-03-11,
2018-03-12,94.8
2018-03-12,76.94
2018-03-12,0
2018-03-12,23.94
2018-03-12,33.11
2018-03-12,83.92
2018-03-12,73.04
2018-03-12,40.26
2018-03-12,89.52
2018-03-12,
2018-03-13,139.46
2018-03-13,0
2018-03-13,9.99
2018-03-13,95.76
2018-03-13,0
2018-03-13,109.87
2018-03-13,101.74
2018-03-13,61.41
2018-03-13,87.96
2018-03-13,
2018-03-14,179.35
2018-03-14,12.79
2018-03-14,49.26
2018-03-14,23.94
2018-03-14,22.9
2018-03-14,35.88
2018-03-14,85.02
2018-03-14,66.15
2018-03-14,111.89
2018-03-14,
2018-03-15,115.97
2018-03-15,25.58
2018-03-15,118.36
2018-03-15,58.98
2018-03-15,95.55
2018-03-15,32.69
2018-03-15,47.82
2018-03-15,0
2018-03-15,
2018-03-16,9.99
2018-03-16,25.78
2018-03-16,9.99
2018-03-16,52.56
2018-03-16,187.25
2018-03-16,17.33
2018-03-16,0
2018-03-16,242.71
2018-03-16,
2018-03-17,160.75
2018-03-17,0
2018-03-17,64.73
2018-03-17,47.88
2018-03-17,65.22
2018-03-17,25.1
2018-03-17,23.91
2018-03-17,89.52
2018-03-17,
2018-03-18,38.34
2018-03-18,38.57
2018-03-18,0
2018-03-18,23.94
2018-03-18,59.82
2018-03-18,40.02
2018-03-18,40.77
2018-03-18,59.19
2018-03-18,
2018-03-19,126.51
2018-03-19,25.98
2018-03-19,9.99
2018-03-19,71.82
2018-03-19,113.64
2018-03-19,100.55
2018-03-19,55.76
2018-03-19,127.41
2018-03-19,
2018-03-20,315.86
2018-03-20,51.47
2018-03-20,24.77
2018-03-20,47.88
2018-03-20,65.64
2018-03-20,87.56
2018-03-20,37.5
2018-03-20,111.5
2018-03-20,
2018-03-21,366.26
2018-03-21,12.99
2018-03-21,45.96
2018-03-21,119.7
2018-03-21,34.36
2018-03-21,82.88
2018-03-21,91.13
2018-03-21,10.32
2018-03-21,162.59
2018-03-21,
2018-03-22,160.94
2018-03-22,25.78
2018-03-22,61.81
2018-03-22,95.76
2018-03-22,68.72
2018-03-22,89.28
2018-03-22,55.01
2018-03-22,23.91
2018-03-22,82.92
2018-03-22,
2018-03-23,90.67
2018-03-23,0
2018-03-23,32.97
2018-03-23,126.25
2018-03-23,17.18
2018-03-23,190.68
2018-03-23,68.05
2018-03-23,22.29
2018-03-23,89.44
2018-03-23,
2018-03-24,128.33
2018-03-24,0
2018-03-24,101.9
2018-03-24,71.82
2018-03-24,59.85
2018-03-24,167.46
2018-03-24,86.89
2018-03-24,57.9
2018-03-24,149.75
2018-03-24,
2018-03-25,18.68
2018-03-25,0
2018-03-25,9.99
2018-03-25,95.76
2018-03-25,139.98
2018-03-25,111.4
2018-03-25,128.88
2018-03-25,22.46
2018-03-25,
2018-03-26,200.82
2018-03-26,0
2018-03-26,64.92
2018-03-26,23.94
2018-03-26,155.34
2018-03-26,19.94
2018-03-26,38.73
2018-03-26,188.13
2018-03-26,
2018-03-27,0
2018-03-27,12.79
2018-03-27,107.31
2018-03-27,71.82
2018-03-27,138.02
2018-03-27,73.45
2018-03-27,11.97
2018-03-27,0
2018-03-27,
2018-03-28,27.37
2018-03-28,12.79
2018-03-28,0
2018-03-28,23.61
2018-03-28,158.06
2018-03-28,174.14
2018-03-28,40.26
2018-03-28,37.18
2018-03-28,
2018-03-29,96.99
2018-03-29,38.57
2018-03-29,131.08
2018-03-29,47.55
2018-03-29,28.91
2018-03-29,105.6
2018-03-29,0
2018-03-29,128.27
2018-03-29,
2018-03-30,37.36
2018-03-30,25.58
2018-03-30,58.84
2018-03-30,61.99
2018-03-30,108.56
2018-03-30,84.97
2018-03-30,82.86
2018-03-30,81.25
2018-03-30,
2018-03-31,59.5
2018-03-31,51.96
2018-03-31,220.14
2018-03-31,134.93
2018-03-31,34.36
2018-03-31,40.08
2018-03-31,111.36
2018-03-31,27.18
2018-03-31,52.41
2018-03-31,
2018-04-01,340.06
2018-04-01,12.5
2018-04-01,0
2018-04-01,47.88
2018-04-01,17.18
2018-04-01,127.16
2018-04-01,45.7
2018-04-01,46.84
2018-04-01,0
2018-04-01,
2018-04-02,70.52
2018-04-02,12.99
2018-04-02,156.49
2018-04-02,33.03
2018-04-02,17.18
2018-04-02,125.91
2018-04-02,41.47
2018-04-02,31.86
2018-04-02,73.43
2018-04-02,
2018-04-03,0
2018-04-03,50.98
2018-04-03,83.22
2018-04-03,95.76
2018-04-03,51.54
2018-04-03,29.76
2018-04-03,90.97
2018-04-03,66.99
2018-04-03,117.03
2018-04-03,
2018-04-04,46.06
2018-04-04,73.3
2018-04-04,0
2018-04-04,160.36
2018-04-04,163.45
2018-04-04,0
2018-04-04,29.76
2018-04-04,46.37
2018-04-04,99.3
2018-04-04,0
2018-04-04,25
2018-04-04,
2018-04-05,0
2018-04-05,66.15
2018-04-05,99.55
2018-04-05,71.82
2018-04-05,194.84
2018-04-05,172.62
2018-04-05,24.98
2018-04-05,132.72
2018-04-05,25.49
2018-04-05,
2018-04-06,0
2018-04-06,98.34
2018-04-06,83.83
2018-04-06,71.82
2018-04-06,0
2018-04-06,43.71
2018-04-06,102
2018-04-06,53.54
2018-04-06,79.59
2018-04-06,38.48
2018-04-06,
2018-04-07,0
2018-04-07,246.97
2018-04-07,106.23
2018-04-07,34.14
2018-04-07,88.53
2018-04-07,90.68
2018-04-07,23.91
2018-04-07,54.71
2018-04-07,12.99
2018-04-07,
2018-04-08,0
2018-04-08,170.47
2018-04-08,62.95
2018-04-08,0
2018-04-08,125.58
2018-04-08,82.15
2018-04-08,77.93
2018-04-08,107.48
2018-04-08,25.49
2018-04-08,
2018-04-09,0
2018-04-09,175.19
2018-04-09,30.75
2018-04-09,41.88
2018-04-09,47.7
2018-04-09,139.52
2018-04-09,53.85
2018-04-09,36.9
2018-04-09,25.49
2018-04-09,
2018-04-10,0
2018-04-10,163.9
2018-04-10,0
2018-04-10,139.06
2018-04-10,47.88
2018-04-10,79.48
2018-04-10,196.1
2018-04-10,56.67
2018-04-10,97.13
2018-04-10,63.48
2018-04-10,
2018-04-11,0
2018-04-11,218.18
2018-04-11,63.71
2018-04-11,23.94
2018-04-11,35.88
2018-04-11,88.66
2018-04-11,48.94
2018-04-11,165.41
2018-04-11,64.46
2018-04-11,
2018-04-12,0
2018-04-12,86.65
2018-04-12,96.98
2018-04-12,23.94
2018-04-12,91.89
2018-04-12,154.48
2018-04-12,64.17
2018-04-12,99.71
2018-04-12,12.5
2018-04-12,
2018-04-13,0
2018-04-13,40.84
2018-04-13,46.97
2018-04-13,129.69
2018-04-13,17.18
2018-04-13,80.66
2018-04-13,163.34
2018-04-13,31.41
2018-04-13,268.26
2018-04-13,38.48
2018-04-13,
2018-04-14,0
2018-04-14,42.75
2018-04-14,89.14
2018-04-14,47.88
2018-04-14,51.54
2018-04-14,23.64
2018-04-14,115.5
2018-04-14,14.97
2018-04-14,111.81
2018-04-14,50.98
2018-04-14,
2018-04-15,105.2
2018-04-15,89.85
2018-04-15,47.88
2018-04-15,17.18
2018-04-15,29.76
2018-04-15,129.26
2018-04-15,59.52
2018-04-15,235.19
2018-04-15,50.49
2018-04-15,
2018-04-16,71.3
2018-04-16,82.18
2018-04-16,47.88
2018-04-16,0
2018-04-16,65.64
2018-04-16,288.69
2018-04-16,10.32
2018-04-16,14.44
2018-04-16,51.47
2018-04-16,
2018-04-17,136.99
2018-04-17,70.62
2018-04-17,95.76
2018-04-17,30.44
2018-04-17,53.82
2018-04-17,60.12
2018-04-17,94.1
2018-04-17,90.54
2018-04-17,63.97
2018-04-17,
2018-04-18,54.75
2018-04-18,42.36
2018-04-18,119.7
2018-04-18,0
2018-04-18,53.82
2018-04-18,99.74
2018-04-18,57.15
2018-04-18,184.72
2018-04-18,37.5
2018-04-18,
2018-04-19,116.02
2018-04-19,70.43
2018-04-19,95.76
2018-04-19,0
2018-04-19,83.42
2018-04-19,131.63
2018-04-19,14.97
2018-04-19,91.71
2018-04-19,63.97
2018-04-19,
2018-04-20,88.26
2018-04-20,79.24
2018-04-20,23.94
2018-04-20,17.18
